Fighter Name,Fighter Record,Fighter Height,Fighter Weight,Fighter Reach,Fighter Stance,Fighter DOB,Fighter SLpM,Fighter Striking Accuracy,Fighter SApM,Fighter Striking Defence,Fighter Take Down Average,Fighter Take Down Accuracy,Fighter Take Down Defence,Fighter Submission Average,wins,loss,tie
Manny Bermudez,"['12', '0', '0']",70,135,71,Orthodox,"Jul16,1994",1.59,42,2.52,64,1.99,20,0,6.0,12,0,0
Matt Bessette,"['22', '8', '0 (1 NC)']",70,145,70,Orthodox,"Dec28,1984",4.63,41,4.22,59,0.94,50,58,0.5,22,8,0
Arjan Bhullar,"['7', '0', '0']",73,245,76,Orthodox,"May13,1986",1.6,48,2.13,71,1.0,100,0,0.0,7,0,0
Magomed Bibulatov,"['14', '1', '0']",65,125,65,Orthodox,"Aug22,1988",3.37,44,1.08,60,1.8,28,100,0.0,14,1,0
David Bielkheden,"['16', '9', '0']",70,155,71,Orthodox,"Jun06,1979",1.11,57,1.64,54,2.65,63,14,0.0,16,9,0
Anthony Birchak,"['13', '3', '0']",68,135,69,Orthodox,"May16,1986",3.98,35,2.26,66,0.68,16,83,0.0,13,3,0
Michael Bisping,"['31', '9', '0']",73,185,75,Orthodox,"Feb28,1979",4.33,38,2.71,65,1.05,43,63,0.3,31,9,0
Jan Blachowicz,"['22', '7', '0']",74,205,78,Orthodox,"Feb24,1983",3.79,49,3.17,52,1.57,52,57,0.3,22,7,0
Brad Blackburn,"['18', '13', '1 (1 NC)']",70,170,73,Orthodox,"May25,1977",4.55,35,3.59,65,0.93,50,76,0.7,18,13,1
Maximo Blanco,"['12', '8', '1 (1 NC)']",68,145,71,Orthodox,"Oct16,1983",4.11,44,3.19,66,1.85,36,63,0.3,12,8,1
Curtis Blaydes,"['9', '1', '0 (1 NC)']",76,265,80,Orthodox,"Feb18,1991",4.49,49,2.63,56,7.29,54,25,0.0,9,1,0
Byron Bloodworth,"['6', '3', '0']",68,135,69,Orthodox,"Aug16,1983",1.82,28,5.18,50,0.0,0,0,0.0,6,3,0
Mark Bocek,"['12', '5', '0']",68,155,75,Orthodox,"Oct24,1981",2.34,43,2.32,60,3.65,36,31,1.3,12,5,0
Kyle Bochniak,"['8', '2', '0']",67,145,70,Orthodox,"Feb05,1987",2.48,32,3.77,62,1.25,21,65,0.0,8,2,0
James Bochnovic,"['8', '2', '0']",76,205,81,Orthodox,"Feb13,1989",0.63,20,5.19,22,0.0,0,0,0.0,8,2,0
Tim Boetsch,"['21', '11', '0']",72,185,74,Orthodox,"Jan28,1981",2.98,51,2.77,57,1.6,35,58,0.8,21,11,0
Galore Bofando,"['5', '3', '0']",71,170,72,Switch,"May22,1982",3.63,45,3.63,54,2.37,100,50,0.0,5,3,0
Stephan Bonnar,"['17', '8', '0']",76,205,78,Orthodox,"Apr04,1977",2.76,38,3.01,52,1.32,40,60,1.0,17,8,0
Ray Borg,"['11', '3', '0']",64,125,63,Orthodox,"Aug04,1993",1.31,48,1.92,47,2.91,44,39,1.4,11,3,0
Steve Bosse,"['12', '2', '0']",71,205,72,Orthodox,"Jul29,1981",5.99,52,5.38,50,0.92,33,100,0.0,12,2,0
Brian Bowles,"['10', '3', '0']",67,135,70,Orthodox,"Jun22,1980",2.36,26,2.98,64,1.39,70,54,1.4,10,3,0
Roger Bowling,"['11', '5', '0 (1 NC)']",69,155,68,Orthodox,"Dec05,1982",3.9,47,3.86,51,3.09,43,27,0.9,11,5,0
Kyle Bradley,"['15', '8', '0 (1 NC)']",69,155,71,Orthodox,"Aug19,1982",1.99,40,3.45,58,0.65,50,40,0.0,15,8,0
David Branch,"['21', '4', '0']",73,185,78,Orthodox,"Sep26,1981",1.65,40,1.55,57,2.25,34,42,0.0,21,4,0
Diego Brandao,"['24', '11', '0']",67,145,68,Orthodox,"May27,1987",2.94,47,3.38,62,3.21,68,80,0.6,24,11,0
Martin Bravo,"['12', '1', '0']",68,145,71,Southpaw,"Sep21,1993",7.76,45,4.63,54,0.0,0,83,0.0,12,1,0
Tom Breese,"['10', '1', '0']",75,185,73,Southpaw,"Sep26,1991",3.61,49,2.65,63,0.0,0,72,0.4,10,1,0
Charlie Brenneman,"['19', '8', '0']",70,155,72,Orthodox,"Feb09,1981",1.52,56,1.55,46,4.23,42,72,0.0,19,8,0
Jason Brilz,"['18', '5', '1']",71,205,71,Orthodox,"Jul07,1975",2.66,40,1.78,65,2.37,25,25,1.3,18,5,1
Marcus Brimage,"['7', '5', '0']",64,135,71,Southpaw,"Apr06,1985",3.97,35,3.64,56,0.56,100,80,0.0,7,5,0
Jonathan Brookins,"['14', '6', '0']",72,145,73,Southpaw,"Aug13,1985",2.69,39,3.63,56,1.94,17,80,0.3,14,6,0
Will Brooks,"['18', '4', '0']",70,155,72,Orthodox,"Oct08,1986",4.26,59,2.54,56,2.08,51,82,0.3,18,4,0
CM Punk,"['0', '1', '0']",73,170,73,Orthodox,"Oct26,1978",0.0,0,8.96,37,0.0,0,0,0.0,0,1,0
Jarred Brooks,"['13', '1', '0']",63,125,62,Switch,"May02,1993",1.9,43,1.67,62,6.0,63,66,0.5,13,1,0
Matt Brown,"['23', '16', '0']",72,170,75,Orthodox,"Jan10,1981",3.78,53,2.64,56,1.57,46,63,1.6,23,16,0
Mike Brown,"['26', '9', '0']",66,145,70,Orthodox,"Sep08,1975",2.98,44,2.45,60,3.23,40,66,0.6,26,9,0
Randy Brown,"['10', '2', '0']",75,170,78,Orthodox,"Jul08,1990",2.96,45,2.41,53,0.87,40,78,0.7,10,2,0
Damien Brown,"['17', '12', '0']",70,155,68,Orthodox,"Dec25,1984",3.66,38,4.86,50,0.68,27,53,0.7,17,12,0
Travis Browne,"['18', '7', '1']",78,255,79,Orthodox,"Jul17,1982",2.93,41,4.31,42,1.21,68,75,0.2,18,7,1
Derek Brunson,"['18', '6', '0']",73,185,77,Southpaw,"Jan04,1984",3.16,45,2.55,50,2.88,32,100,0.6,18,6,0
Justin Buchholz,"['12', '6', '0']",72,155,73,Orthodox,"Aug22,1983",2.35,26,4.14,51,0.0,0,33,0.8,12,6,0
Mike Budnik,"['11', '4', '0']",69,145,68,Orthodox,"Aug08,1974",0.65,52,0.95,53,0.0,0,0,3.4,11,4,0
Paul Buentello,"['29', '14', '0']",74,245,77,Orthodox,"Jan16,1974",3.29,45,3.83,52,0.19,33,39,0.4,29,14,0
Wuliji Buren,"['10', '5', '0']",69,145,69,Orthodox,"Mar01,1989",1.13,28,1.73,73,4.0,36,100,0.0,10,5,0
Shane Burgos,"['10', '1', '0']",71,145,75,Orthodox,"Mar19,1991",6.49,46,5.29,66,0.57,100,94,0.0,10,1,0
Joshua Burkman,"['29', '17', '0 (1 NC)']",70,170,72,Orthodox,"Apr10,1980",2.69,43,3.13,51,2.53,36,72,0.3,29,17,0
Mads Burnell,"['9', '2', '0']",68,145,69,Orthodox,"Mar06,1994",1.13,46,2.91,39,1.7,42,22,0.6,9,2,0
Kevin Burns,"['9', '5', '0']",70,170,74,Orthodox,"Mar03,1980",2.74,38,4.3,52,0.28,50,47,0.8,9,5,0
Gilbert Burns,"['12', '2', '0']",70,155,71,Orthodox,"Jul20,1986",2.49,37,3.42,57,2.09,33,38,0.9,12,2,0
Nah-Shon Burrell,"['9', '3', '0 (1 NC)']",71,170,73,Orthodox,"Feb05,1990",4.83,47,3.45,56,0.0,0,52,0.3,9,3,0
Martin Buschkamp,"['9', '0', '0 (1 NC)']",69,145,70,Orthodox,"Jan06,1991",0.0,0,0.0,0,0.0,0,0,0.0,9,0,0
Bubba Bush,"['8', '3', '0 (1 NC)']",72,185,73,Orthodox,"Jul24,1985",0.63,55,7.01,25,2.82,50,60,0.0,8,3,0
JP Buys,"['4', '1', '0']",66,125,66,Orthodox,"Apr30,1996",2.01,42,3.35,46,4.02,50,0,0.0,4,1,0
Charles Byrd,"['10', '4', '0']",70,185,73,Orthodox,"Oct11,1983",3.33,58,0.82,61,3.77,100,57,2.8,10,4,0
Yan Cabral,"['12', '3', '0']",71,155,73,Orthodox,"May13,1983",2.02,47,1.98,62,2.89,35,37,1.2,12,3,0
Alex Caceres,"['13', '11', '0 (1 NC)']",70,145,73,Southpaw,"Jun20,1988",3.75,48,2.62,63,0.6,81,58,0.9,13,11,0
Priscila Cachoeira,"['8', '1', '0']",67,125,65,Orthodox,"Aug19,1988",0.21,16,10.09,15,0.0,0,0,0.0,8,1,0
Cynthia Calvillo,"['6', '1', '0']",64,115,64,Orthodox,"Jul13,1987",3.29,37,3.29,65,1.59,50,69,2.5,6,1,0
Frank Camacho,"['21', '6', '0']",70,170,73,Orthodox,"May18,1989",6.56,45,7.62,54,1.67,55,80,0.0,21,6,0
Fabricio Camoes,"['14', '9', '1']",70,155,73,Orthodox,"Dec23,1978",1.29,33,1.85,61,2.34,32,20,1.5,14,9,1
Chris Camozzi,"['24', '13', '0']",74,185,76,Orthodox,"Nov20,1986",3.57,44,2.96,56,0.27,19,57,0.5,24,13,0
Brian Camozzi,"['7', '5', '0']",74,170,78,Orthodox,"Jun24,1991",3.15,26,6.39,54,0.0,0,0,0.7,7,5,0
Shane Campbell,"['12', '6', '0']",72,155,71,Orthodox,"Jan21,1987",3.99,59,3.19,55,1.36,28,82,0.0,12,6,0
Will Campuzano,"['13', '6', '0']",69,125,70,Orthodox,"May27,1986",2.43,31,3.82,57,0.88,45,48,0.2,13,6,0
Chico Camus,"['14', '7', '0 (1 NC)']",66,125,66,Orthodox,"Jan26,1985",2.58,41,2.46,64,0.77,40,72,0.4,14,7,0
Carlos Candelario,"['6', '0', '0']",68,125,67,Southpaw,"Jun04,1991",3.87,47,1.67,57,0.0,0,46,0.0,6,0,0
Luiz Cane,"['12', '5', '0 (1 NC)']",74,185,77,Southpaw,"Apr24,1981",4.79,41,5.0,60,0.56,28,100,0.3,12,5,0
Guido Cannetti,"['7', '4', '0']",66,135,68,Southpaw,"Dec19,1979",3.23,52,1.8,57,3.38,54,88,0.0,7,4,0
Jared Cannonier,"['10', '3', '0']",71,205,77,Switch,"Mar16,1984",3.61,52,2.74,68,0.24,33,27,0.0,10,3,0
Steve Cantwell,"['7', '6', '0']",74,185,75,Orthodox,"Dec08,1986",3.63,34,5.76,55,0.65,30,80,0.7,7,6,0
Bryan Caraway,"['21', '9', '0']",68,135,68,Orthodox,"Aug04,1984",2.43,33,3.43,54,2.62,26,80,0.8,21,9,0
Chris Cariaso,"['17', '8', '0']",63,125,63,Southpaw,"May27,1981",3.35,43,2.23,61,1.11,39,57,0.8,17,8,0
Antonio Carlos Junior,"['10', '2', '0 (1 NC)']",74,185,79,Orthodox,"Mar16,1990",1.89,43,1.86,54,3.77,46,57,1.1,10,2,0
Francis Carmont,"['23', '10', '0']",75,205,78,Orthodox,"Oct11,1981",2.22,42,1.64,59,1.79,36,73,0.6,23,10,0
Liz Carmouche,"['10', '6', '0']",66,125,66,Orthodox,"Feb19,1984",3.27,55,2.66,60,2.94,50,66,0.2,10,6,0
Roan Carneiro,"['21', '11', '0']",71,170,74,Orthodox,"Jun02,1978",1.46,46,1.82,62,3.05,42,83,1.4,21,11,0
Renato Moicano,"['11', '1', '1']",71,145,72,Orthodox,"May21,1989",5.26,44,3.55,69,1.46,55,72,0.3,11,1,1
Cain Carrizosa,"['6', '2', '0']",68,155,74,Orthodox,"Jul22,1986",2.72,42,5.8,51,0.0,0,14,0.0,6,2,0
Antonio Carvalho,"['15', '6', '0']",69,145,68,Orthodox,"May30,1979",3.03,29,3.62,64,0.0,0,100,0.0,15,6,0
Shane Carwin,"['12', '2', '0']",74,265,80,Orthodox,"Jan04,1975",4.38,47,3.53,53,1.42,33,42,0.0,12,2,0
Johnny Case,"['22', '6', '0']",70,155,72,Orthodox,"Jun28,1989",3.95,38,2.66,61,1.7,45,72,0.0,22,6,0
Kevin Casey,"['9', '5', '1 (2 NC)']",71,185,77,Southpaw,"Jun15,1981",2.27,53,3.76,46,0.79,22,27,0.4,9,5,1
Cortney Casey,"['7', '5', '0']",67,115,67,Orthodox,"May05,1987",4.76,39,4.1,57,0.37,66,25,0.2,7,5,0
John Castaneda,"['13', '2', '0']",67,135,70,Switch,"Dec18,1991",3.2,46,1.87,71,2.0,28,66,0.0,13,2,0
Danny Castillo,"['17', '10', '0']",69,155,71,Orthodox,"Aug25,1979",2.57,42,1.96,62,2.95,38,63,0.2,17,10,0
Nick Catone,"['10', '4', '0']",72,185,72,Southpaw,"Sep01,1981",2.11,44,2.32,63,3.71,44,83,0.5,10,4,0
Gesias Cavalcante,"['16', '5', '1 (1 NC)']",68,155,71,Orthodox,"Jul06,1983",1.98,35,3.11,51,1.25,36,66,1.1,16,5,1
Rafael Feijao,"['12', '7', '0 (1 NC)']",73,205,73,Orthodox,"Apr14,1980",2.71,53,3.62,49,0.6,40,63,0.1,12,7,0
Magnus Cedenblad,"['14', '5', '0']",77,185,79,Orthodox,"Apr10,1982",2.38,51,3.02,40,2.87,64,66,1.0,14,5,0
Yosdenis Cedeno,"['10', '5', '1']",68,155,69,Orthodox,"Feb12,1985",1.64,29,1.6,67,0.0,0,31,0.3,10,5,1
Henry Cejudo,"['12', '2', '0']",64,125,64,Orthodox,"Feb09,1987",3.78,43,2.44,71,2.44,38,100,0.1,12,2,0
Donald Cerrone,"['33', '10', '0 (1 NC)']",73,170,73,Orthodox,"Mar29,1983",4.24,48,4.09,54,1.35,37,71,1.5,33,10,0
Luan Chagas,"['15', '2', '1']",72,170,75,Orthodox,"Jun17,1993",4.7,48,2.97,65,0.39,14,100,0.4,15,2,1
Ernest Chavez,"['8', '2', '0']",68,145,70,Orthodox,"Jun27,1983",2.79,40,3.89,59,0.89,33,50,0.0,8,2,0
Mark Cherico,"['11', '1', '0']",67,145,69,Orthodox,"May12,1986",3.69,34,7.37,56,5.03,50,0,0.0,11,1,0
Michael Chiesa,"['14', '3', '0']",73,155,75,Southpaw,"Dec07,1987",2.18,37,2.52,50,2.71,40,68,1.4,14,3,0
Dooho Choi,"['14', '3', '0']",70,145,70,Orthodox,"Apr10,1991",5.64,53,6.26,54,0.55,20,50,0.0,14,3,0
John Cholish,"['8', '3', '0']",71,155,72,Orthodox,"Dec17,1983",2.65,49,2.29,73,1.82,31,78,0.4,8,3,0
Ryo Chonan,"['20', '12', '0']",69,170,70,Orthodox,"Oct08,1976",2.57,43,2.25,60,0.61,41,39,0.3,20,12,0
Katlyn Chookagian,"['10', '1', '0']",69,125,68,Orthodox,"Dec28,1988",4.0,30,3.8,64,0.0,0,57,0.2,10,1,0
Will Chope,"['19', '6', '0']",76,145,76,Switch,"Sep08,1990",4.43,27,9.93,46,0.0,0,0,0.0,19,6,0
Joachim Christensen,"['14', '6', '0']",75,205,76,Orthodox,"Nov07,1978",3.78,41,3.29,46,0.0,0,0,0.0,14,6,0
Anthony Christodoulou,"['12', '6', '0']",69,155,72,Orthodox,"Jul30,1987",2.19,26,5.9,45,0.0,0,40,0.0,12,6,0
Misha Cirkunov,"['13', '4', '0']",75,205,77,Orthodox,"Feb27,1987",4.53,51,2.63,66,4.44,56,50,1.5,13,4,0
Devin Clark,"['8', '2', '0']",72,205,75,Orthodox,"Apr12,1990",3.35,53,2.86,42,2.09,37,80,0.3,8,2,0
Jessica-Rose Clark,"['9', '4', '0 (1 NC)']",65,125,64,Orthodox,"Nov28,1987",5.2,57,3.97,54,2.0,66,60,1.0,9,4,0
Mitch Clarke,"['11', '5', '0']",70,155,73,Orthodox,"Nov24,1985",2.35,34,3.27,47,0.64,15,50,0.4,11,5,0
Rich Clementi,"['40', '20', '1']",69,155,72,Southpaw,"Mar31,1976",1.43,37,2.29,60,1.72,42,25,1.1,40,20,1
Chris Clements,"['12', '6', '0 (1 NC)']",70,170,70,Orthodox,"Feb09,1976",3.2,49,2.37,44,0.0,0,32,0.3,12,6,0
Josh Clopton,"['6', '2', '1']",66,145,68,Orthodox,"Jul11,1981",1.6,64,2.87,50,2.0,66,75,0.0,6,2,1
John Cofer,"['7', '4', '0']",69,155,73,Southpaw,"Apr29,1984",2.73,41,3.43,62,1.22,50,64,0.0,7,4,0
Mark Coleman,"['16', '10', '0']",73,205,75,Orthodox,"Dec20,1964",1.88,52,2.62,40,3.89,40,50,0.8,16,10,0
Clay Collard,"['14', '7', '0 (1 NC)']",71,145,73,Orthodox,"Mar10,1993",4.22,32,5.0,50,2.81,39,71,0.5,14,7,0
Jamie Colleen,"['3', '1', '0']",63,115,65,Orthodox,"Nov02,1985",2.58,49,3.53,37,1.02,100,40,3.1,3,1,0
Jake Collier,"['11', '4', '0']",75,205,78,Orthodox,"Oct25,1988",4.15,39,3.69,52,0.72,23,67,0.5,11,4,0
Christian Colombo,"['8', '3', '1']",77,265,80,Orthodox,"Jul01,1980",2.76,44,4.02,42,0.0,0,33,0.0,8,3,1
Carlos Condit,"['30', '11', '0']",74,170,75,Orthodox,"Apr26,1984",3.7,39,2.4,57,0.55,52,38,1.1,30,11,0
Amanda Cooper,"['4', '3', '0']",63,115,64,Switch,"Oct22,1991",3.7,44,3.29,49,1.42,42,20,1.9,4,3,0
Chris Cope,"['5', '4', '0']",72,170,72,Orthodox,"Mar05,1983",3.96,26,4.82,50,0.0,0,80,0.0,5,4,0
Josh Copeland,"['9', '2', '0']",73,265,75,Orthodox,"Oct20,1982",1.03,31,3.01,55,0.0,0,57,0.0,9,2,0
Michael Cora,"['4', '1', '0']",73,170,77,Southpaw,"Aug24,1989",0.8,28,0.13,66,0.0,0,25,0.0,4,1,0
Akira Corassani,"['14', '7', '0 (1 NC)']",68,145,68,Orthodox,"Aug27,1982",3.25,45,4.91,50,0.7,28,86,0.0,14,7,0
Daniel Cormier,"['20', '1', '0 (1 NC)']",71,205,72,Orthodox,"Mar20,1979",3.84,49,2.47,58,1.89,42,80,0.5,20,1,0
Bethe Correia,"['10', '3', '1']",65,135,64,Orthodox,"Jun22,1983",4.34,45,3.87,59,0.48,25,85,0.0,10,3,1
Patrick Cote,"['24', '11', '0']",71,170,71,Orthodox,"Feb29,1980",2.81,48,3.21,48,0.68,20,43,0.2,24,11,0
JC Cottrell,"['17', '5', '0']",69,155,71,Orthodox,"Nov04,1989",0.79,25,2.75,45,0.79,100,50,0.0,17,5,0
Rashad Coulter,"['8', '3', '0']",72,245,76,Orthodox,"Nov27,1981",3.96,49,8.51,53,0.0,0,100,0.0,8,3,0
Randy Couture,"['19', '11', '0']",73,205,75,Orthodox,"Jun22,1963",2.85,57,1.53,59,2.78,46,58,0.5,19,11,0
Ryan Couture,"['7', '3', '0']",70,155,75,Orthodox,"Aug27,1982",3.54,45,2.87,54,1.55,29,46,1.3,7,3,0
Colby Covington,"['13', '1', '0']",71,170,72,Orthodox,"Feb22,1988",3.09,41,1.71,62,5.98,53,88,0.3,13,1,0
Nathan Coy,"['15', '7', '0']",70,170,69,Southpaw,"Jul24,1978",3.88,52,2.4,61,3.17,47,50,0.0,15,7,0
Andrew Craig,"['9', '4', '0']",73,170,76,Orthodox,"Jan15,1986",2.39,40,3.01,50,0.53,37,72,0.0,9,4,0
Paul Craig,"['10', '2', '0']",75,205,76,Orthodox,"Nov27,1987",2.51,51,3.64,44,1.45,23,66,1.9,10,2,0
Tim Credeur,"['12', '4', '0']",75,185,75,Orthodox,"Jul09,1977",3.59,30,3.13,57,0.41,100,50,3.3,12,4,0
Allen Crowder,"['9', '3', '0 (1 NC)']",75,245,76,Orthodox,"Nov08,1989",3.58,54,2.33,60,1.79,33,100,0.9,9,3,0
Daron Cruickshank,"['16', '8', '0 (1 NC)']",68,155,72,Switch,"Jun11,1985",2.88,38,2.98,57,2.04,41,60,0.2,16,8,0
Dominick Cruz,"['22', '2', '0']",68,135,68,Orthodox,"Mar09,1985",3.53,31,2.15,74,3.17,50,83,0.1,22,2,0
Zak Cummings,"['21', '5', '0']",72,170,75,Southpaw,"Aug02,1984",2.61,31,3.01,51,1.3,38,66,1.1,21,5,0
Patrick Cummins,"['10', '4', '0']",74,205,76,Orthodox,"Nov16,1980",4.63,52,3.19,57,5.34,43,71,0.2,10,4,0
Luke Cummo,"['6', '6', '0']",72,170,74,Orthodox,"Apr27,1980",1.74,43,1.5,59,0.89,55,42,1.4,6,6,0
Jeff Curran,"['35', '15', '1']",66,135,69,Orthodox,"Sep02,1977",1.54,31,2.48,60,0.35,12,35,1.2,35,15,1
Kailin Curran,"['4', '6', '0']",64,115,65,Orthodox,"Apr11,1991",3.89,43,4.75,53,2.0,57,61,0.6,4,6,0
Ion Cutelaba,"['13', '3', '0 (1 NC)']",73,205,75,Southpaw,"Dec14,1993",4.15,31,3.21,50,2.16,66,80,0.0,13,3,0
Jussier Formiga,"['21', '5', '0']",65,125,67,Orthodox,"Apr14,1985",1.35,37,2.19,65,1.84,37,85,0.7,21,5,0
Claudio Silva,"['11', '1', '0']",71,170,71,Southpaw,"Sep06,1982",2.33,45,2.47,45,3.0,25,0,0.5,11,1,0
Henrique da Silva,"['12', '4', '0']",75,205,76,Orthodox,"Sep01,1989",4.0,56,5.24,42,0.33,25,25,0.3,12,4,0
Sheymon Moraes,"['9', '2', '0']",68,145,72,Orthodox,"Oct11,1990",1.24,58,2.34,51,0.0,0,26,0.0,9,2,0
Nicolas Dalby,"['14', '2', '1']",71,170,74,Orthodox,"Nov16,1984",3.27,38,3.33,55,2.0,50,69,0.0,14,2,1
Paul Daley,"['31', '11', '2']",69,170,76,Orthodox,"Feb21,1983",3.14,47,2.37,60,0.91,40,64,0.0,31,11,2
Rodrigo Damm,"['12', '9', '0']",67,155,71,Orthodox,"Feb03,1980",3.5,36,5.61,57,0.44,16,80,0.3,12,9,0
Cindy Dandois,"['8', '3', '0']",67,135,68,Orthodox,"Oct26,1984",3.13,32,3.4,58,5.0,55,0,0.0,8,3,0
Jarjis Danho,"['6', '1', '1 (1 NC)']",75,265,74,Orthodox,"Oct15,1983",3.39,48,5.77,47,0.57,20,100,0.0,6,1,1
Mac Danzig,"['22', '12', '1']",68,155,70,Orthodox,"Jan02,1980",3.39,48,3.44,57,1.2,37,46,0.6,22,12,1
Karen Darabedyan,"['9', '4', '0']",67,155,68,Orthodox,"Dec18,1986",3.43,51,2.62,67,2.14,75,0,0.0,9,4,0
Beneil Dariush,"['14', '4', '1']",70,155,72,Southpaw,"May06,1989",4.04,47,2.91,61,1.15,25,78,0.6,14,4,1
Marcus Davis,"['20', '9', '0 (1 NC)']",70,170,70,Southpaw,"Aug24,1973",2.72,39,2.79,65,1.6,48,47,1.4,20,9,0
LC Davis,"['17', '4', '0']",68,135,69,Southpaw,"Oct28,1980",2.04,30,2.1,59,2.27,46,66,0.2,17,4,0
Phil Davis,"['13', '3', '0 (1 NC)']",74,205,79,Orthodox,"Sep25,1984",2.85,34,1.33,72,2.99,38,72,0.6,13,3,0
Alexis Davis,"['19', '7', '0']",66,125,68,Orthodox,"Oct04,1984",4.12,46,4.17,53,0.78,37,34,1.2,19,7,0
Brandon Davis,"['9', '3', '0']",70,145,72,Orthodox,"May08,1990",6.36,33,4.69,69,0.33,50,84,0.0,9,3,0
Hakeem Dawodu,"['7', '1', '1']",68,145,73,Orthodox,"Jul02,1991",4.62,100,3.08,60,0.0,0,0,0.0,7,1,1
Jason Day,"['19', '12', '0']",72,185,72,Orthodox,"May19,1981",3.61,54,3.46,47,1.13,100,0,0.0,19,12,0
Martin Day,"['5', '1', '0']",70,125,71,Orthodox,"Nov10,1988",4.53,43,2.73,59,1.0,50,66,0.0,5,1,0
Philip De Fries,"['9', '3', '0 (1 NC)']",77,250,82,Orthodox,"Apr21,1986",2.3,47,3.0,37,3.29,42,100,0.6,9,3,0
Chris de la Rocha,"['3', '2', '0']",75,250,80,Orthodox,"May15,1979",4.07,36,7.44,46,0.0,0,0,0.0,3,2,0
Mark De La Rosa,"['9', '1', '0']",66,135,65,Orthodox,"Aug31,1994",0.3,50,1.8,50,0.0,0,0,0.0,9,1,0
Mike de la Torre,"['14', '7', '0 (1 NC)']",71,145,71,Orthodox,"Sep22,1986",3.21,39,4.75,51,0.36,16,83,0.0,14,7,0
Rodrigo de Lima,"['8', '3', '1']",67,155,75,Orthodox,"Mar12,1991",1.29,33,5.5,32,2.66,36,0,1.3,8,3,1
Jorge de Oliveira,"['7', '2', '0']",68,155,71,Orthodox,"Jan22,1980",1.26,31,4.84,48,0.0,0,22,0.0,7,2,0
Talita Bernardo,"['5', '3', '0']",64,135,68,Orthodox,"Mar04,1987",2.27,38,4.25,57,2.01,22,50,0.5,5,3,0
Germaine de Randamie,"['7', '3', '0']",69,135,71,Orthodox,"Apr24,1984",3.2,47,2.28,66,0.0,0,86,0.2,7,3,0
Tom DeBlass,"['7', '2', '0']",72,185,75,Orthodox,"May14,1982",1.5,35,4.43,37,1.0,50,28,0.5,7,2,0
Shane del Rosario,"['11', '2', '0']",76,250,79,Southpaw,"Sep23,1983",3.93,60,2.97,54,1.2,40,16,2.4,11,2,0
Rolando Delgado,"['11', '5', '1']",75,155,77,Orthodox,"Nov22,1981",1.56,40,1.83,62,1.17,22,0,3.5,11,5,1
Roland Delorme,"['9', '4', '0 (1 NC)']",69,135,71,Orthodox,"Dec18,1983",2.28,44,4.32,40,2.51,34,42,1.6,9,4,0
Jon Delos Reyes,"['8', '5', '0']",66,125,67,Orthodox,"Aug19,1987",2.99,38,4.14,51,3.2,83,55,1.9,8,5,0
Chris Dempsey,"['11', '4', '0']",70,185,72,Orthodox,"Sep08,1987",2.25,32,2.82,65,2.64,23,16,0.0,11,4,0
Jason Dent,"['21', '12', '0']",70,155,71,Orthodox,"Jun12,1980",2.01,39,3.7,62,0.0,0,26,1.4,21,12,0
Mackenzie Dern,"['6', '0', '0']",64,115,63,Orthodox,"Mar24,1993",4.67,48,3.47,63,1.0,16,0,1.0,6,0,0
Tony DeSouza,"['10', '4', '0']",72,170,70,Southpaw,"Jul26,1974",1.12,52,1.57,41,2.25,42,40,1.5,10,4,0
Alessio Di Chirico,"['11', '2', '0']",72,185,74,Orthodox,"Dec12,1989",3.37,41,2.86,61,1.9,50,76,0.0,11,2,0
Cyrille Diabate,"['20', '10', '3']",78,205,81,Southpaw,"Oct06,1973",4.06,71,1.78,60,1.17,83,53,0.2,20,10,3
Marc Diakiese,"['12', '2', '0']",70,155,73,Orthodox,"Mar16,1993",2.38,39,1.93,56,2.65,36,57,0.0,12,2,0
Hacran Dias,"['23', '6', '1']",68,155,69,Orthodox,"Jun16,1984",2.08,41,3.31,55,2.5,39,76,0.5,23,6,1
Nick Diaz,"['26', '9', '0 (2 NC)']",73,185,76,Southpaw,"Aug02,1983",5.43,42,3.56,61,1.32,33,60,1.0,26,9,0
Nate Diaz,"['20', '11', '0']",72,170,76,Southpaw,"Apr16,1985",4.64,44,3.69,54,1.17,30,45,1.4,20,11,0
Seth Dikun,"['7', '4', '0']",70,135,69,Orthodox,"Aug05,1980",1.45,26,2.18,55,0.0,0,45,0.9,7,4,0
TJ Dillashaw,"['16', '3', '0']",66,135,67,Orthodox,"Feb07,1986",5.26,40,2.91,66,1.73,37,85,1.0,16,3,0
Russell Doane,"['15', '8', '0']",67,135,70,Orthodox,"Aug13,1986",1.75,40,1.68,53,2.11,45,52,0.8,15,8,0
Drew Dober,"['19', '8', '0 (1 NC)']",68,170,70,Southpaw,"Oct19,1988",4.53,38,4.53,54,0.9,13,59,0.2,19,8,0
John Dodson,"['21', '9', '0']",63,135,66,Orthodox,"Sep26,1984",3.43,41,3.35,64,0.77,31,81,0.0,21,9,0
Joe Doerksen,"['47', '16', '0']",72,185,75,Orthodox,"Oct09,1977",1.43,42,2.79,50,2.02,33,33,2.3,47,16,0
CB Dollaway,"['18', '9', '0']",74,185,76,Orthodox,"Aug10,1983",2.79,48,2.43,56,3.58,54,78,1.0,18,9,0
