Fighter Name,Fighter Record,Fighter Height,Fighter Weight,Fighter Reach,Fighter Stance,Fighter DOB,Fighter SLpM,Fighter Striking Accuracy,Fighter SApM,Fighter Striking Defence,Fighter Take Down Average,Fighter Take Down Accuracy,Fighter Take Down Defence,Fighter Submission Average,wins,loss,tie
Neil Seery,"['16', '13', '0']",64,125,64,Orthodox,"Aug30,1979",3.56,41,3.79,58,0.78,27,53,1.6,16,13,0
Pete Sell,"['9', '5', '0']",71,170,75,Orthodox,"Aug05,1982",2.6,42,3.65,51,0.91,21,47,0.9,9,5,0
Mackens Semerzier,"['8', '4', '0 (1 NC)']",69,145,72,Orthodox,"Nov03,1980",2.91,45,3.48,46,2.14,50,50,2.1,8,4,0
Alex Serdyukov,"['8', '5', '0']",74,170,74,Orthodox,"May24,1980",3.92,42,2.53,54,1.56,60,70,2.6,8,5,0
Matt Serra,"['11', '7', '0']",66,170,68,Orthodox,"Jun02,1974",1.98,39,2.64,46,2.05,20,38,0.9,11,7,0
Fredy Serrano,"['3', '2', '0']",63,125,65,Orthodox,"Sep22,1979",1.58,26,1.89,61,2.84,25,84,0.0,3,2,0
Rosi Sexton,"['13', '4', '0']",63,135,63,Orthodox,"Jul16,1977",3.31,39,7.42,41,0.75,10,80,0.0,13,4,0
Kamal Shalorus,"['7', '3', '2']",68,155,68,Orthodox,"Aug27,1972",3.06,32,2.99,70,2.07,50,80,0.0,7,3,2
Ken Shamrock,"['28', '16', '2']",73,205,72,Orthodox,"Feb11,1964",1.47,46,4.3,39,0.94,60,44,2.5,28,16,2
Eric Shelton,"['11', '5', '0']",66,125,68,Orthodox,"Feb02,1991",3.17,46,1.63,66,2.5,43,45,0.2,11,5,0
Sean Sherk,"['36', '4', '1']",66,155,67,Orthodox,"Aug05,1973",2.17,35,2.71,55,4.09,46,56,0.4,36,4,1
Chase Sherman,"['11', '4', '0']",76,250,78,Orthodox,"Nov16,1989",6.25,42,5.35,56,0.0,0,100,0.0,11,4,0
Valentina Shevchenko,"['15', '3', '0']",65,125,67,Southpaw,"Mar07,1988",3.31,52,2.38,57,1.82,54,73,0.5,15,3,0
Jake Shields,"['29', '7', '1 (1 NC)']",72,170,72,Orthodox,"Jan09,1979",2.45,36,1.8,56,2.83,29,35,1.2,29,7,1
Shunichi Shimizu,"['28', '9', '10 (1 NC)']",65,135,66,Orthodox,"Jan31,1985",0.14,33,4.68,30,0.0,0,0,0.0,28,9,1
Josh Shockley,"['11', '4', '0']",73,155,74,Orthodox,"Nov15,1989",1.4,33,1.75,60,0.0,0,61,0.8,11,4,0
Sam Sicilia,"['15', '8', '0']",68,145,67,Orthodox,"Feb01,1986",2.46,33,3.55,59,1.45,43,70,0.9,15,8,0
Steven Siler,"['23', '13', '0']",71,145,70,Orthodox,"Feb15,1987",3.21,41,2.96,54,0.47,21,55,1.6,23,13,0
Anderson Silva,"['34', '8', '0 (1 NC)']",74,185,77,Southpaw,"Apr14,1975",3.1,63,1.87,62,0.55,77,69,0.9,34,8,0
