Fighter Name,Fighter Height,Fighter Weight,Fighter Reach,Fighter Stance,Fighter DOB,Fighter SLpM,Fighter Striking Accuracy,Fighter SApM,Fighter Striking Defence,Fighter Take Down Average,Fighter Take Down Accuracy,Fighter Take Down Defence,Fighter Submission Average,wins,loss,tie,total,win percent
Fredy Serrano,63,125,65,Orthodox,"Sep22,1979",1.58,26,1.89,61,2.84,25,84,0.0,3,2,0,5,0.6
Rosi Sexton,63,135,63,Orthodox,"Jul16,1977",3.31,39,7.42,41,0.75,10,80,0.0,13,4,0,17,0.7647058823529411
Kamal Shalorus,68,155,68,Orthodox,"Aug27,1972",3.06,32,2.99,70,2.07,50,80,0.0,7,3,2,12,0.5833333333333334
Ken Shamrock,73,205,72,Orthodox,"Feb11,1964",1.47,46,4.3,39,0.94,60,44,2.5,28,16,2,46,0.6086956521739131
Eric Shelton,66,125,68,Orthodox,"Feb02,1991",3.17,46,1.63,66,2.5,43,45,0.2,11,5,0,16,0.6875
Sean Sherk,66,155,67,Orthodox,"Aug05,1973",2.17,35,2.71,55,4.09,46,56,0.4,36,4,1,41,0.8780487804878049
Chase Sherman,76,250,78,Orthodox,"Nov16,1989",6.25,42,5.35,56,0.0,0,100,0.0,11,4,0,15,0.7333333333333333
Valentina Shevchenko,65,125,67,Southpaw,"Mar07,1988",3.31,52,2.38,57,1.82,54,73,0.5,15,3,0,18,0.8333333333333334
Jake Shields,72,170,72,Orthodox,"Jan09,1979",2.45,36,1.8,56,2.83,29,35,1.2,29,7,1,37,0.7837837837837838
Shunichi Shimizu,65,135,66,Orthodox,"Jan31,1985",0.14,33,4.68,30,0.0,0,0,0.0,28,9,1,38,0.7368421052631579
Josh Shockley,73,155,74,Orthodox,"Nov15,1989",1.4,33,1.75,60,0.0,0,61,0.8,11,4,0,15,0.7333333333333333
Sam Sicilia,68,145,67,Orthodox,"Feb01,1986",2.46,33,3.55,59,1.45,43,70,0.9,15,8,0,23,0.6521739130434783
Steven Siler,71,145,70,Orthodox,"Feb15,1987",3.21,41,2.96,54,0.47,21,55,1.6,23,13,0,36,0.6388888888888888
Anderson Silva,74,185,77,Southpaw,"Apr14,1975",3.1,63,1.87,62,0.55,77,69,0.9,34,8,0,42,0.8095238095238095
Wanderlei Silva,71,205,74,Orthodox,"Jul03,1976",2.79,40,2.19,60,0.97,53,62,0.6,35,12,1,48,0.7291666666666666
Thiago Silva,74,205,74,Orthodox,"Nov12,1982",3.92,50,2.55,67,1.03,47,70,0.7,16,3,0,19,0.8421052631578947
Antonio Silva,76,264,80,Orthodox,"Sep14,1979",2.89,45,3.09,50,0.82,29,66,0.8,19,10,1,30,0.6333333333333333
Erick Silva,72,170,74,Orthodox,"Jun21,1984",2.5,48,4.18,49,0.85,35,56,1.4,19,9,0,28,0.6785714285714286
Leandro Silva,69,155,72,Orthodox,"Nov11,1985",2.39,48,2.08,63,1.76,37,65,0.4,19,4,1,24,0.7916666666666666
Wagner Silva,72,170,71,Orthodox,"Feb07,1987",1.69,29,2.87,65,0.0,0,58,0.0,3,3,0,6,0.5
Felipe Silva,72,155,77,Orthodox,"May08,1984",4.2,34,4.2,35,0.0,0,0,0.0,8,1,0,9,0.8888888888888888
Douglas Silva de Andrade,67,135,68,Orthodox,"Jun22,1985",3.92,36,4.08,61,0.89,57,68,0.0,25,2,0,27,0.9259259259259259
Elias Silverio,71,155,73,Orthodox,"Sep22,1986",3.67,49,2.97,51,1.62,38,85,0.2,11,2,0,13,0.8461538461538461
Ricky Simon,66,135,69,Orthodox,"Aug31,1992",3.2,48,2.4,72,14.0,73,0,0.0,10,1,0,11,0.9090909090909091
Aaron Simpson,72,170,73,Orthodox,"Jul20,1974",3.6,52,2.53,56,3.78,34,83,0.5,11,4,0,15,0.7333333333333333
Tony Sims,71,155,70,Southpaw,"Oct14,1985",1.81,63,0.76,65,0.71,50,50,0.7,12,4,0,16,0.75
Everett Sims,77,260,77,Southpaw,"Sep04,1988",0.81,66,2.19,30,0.0,0,42,1.2,4,1,0,5,0.8
Rory Singer,74,185,77,Orthodox,"May28,1976",2.55,39,2.42,63,0.39,25,64,0.8,11,9,0,20,0.55
Elvis Sinosic,75,205,77,Orthodox,"Feb13,1971",1.13,37,4.6,53,0.0,0,0,1.2,7,11,2,20,0.35
Dennis Siver,66,145,70,Orthodox,"Jan13,1979",3.87,32,2.67,65,0.87,32,65,0.3,23,11,0,34,0.6764705882352942
Chas Skelly,71,145,72,Orthodox,"May11,1985",1.95,39,3.58,45,1.82,33,36,2.5,17,3,0,20,0.85
Scott Smith,72,185,70,Orthodox,"May21,1979",1.86,27,5.94,50,0.13,6,58,0.4,17,9,0,26,0.6538461538461539
Trevor Smith,75,185,75,Orthodox,"Jan05,1981",3.38,59,2.68,51,1.94,34,54,1.0,15,7,0,22,0.6818181818181818
Anthony Smith,76,185,76,Orthodox,"Jul26,1988",3.11,44,4.0,45,0.51,30,46,0.9,28,13,0,41,0.6829268292682927
Colton Smith,72,155,71,Orthodox,"Aug14,1987",1.64,41,2.3,51,4.09,36,25,1.4,6,4,0,10,0.6
Gilbert Smith,69,185,75,Southpaw,"Oct19,1981",1.09,41,2.73,35,3.51,60,0,1.2,5,2,0,7,0.7142857142857143
Leslie Smith,69,135,66,Orthodox,"Aug17,1982",7.56,40,8.41,51,0.0,0,62,0.0,10,7,1,18,0.5555555555555556
Dmitrii Smoliakov,74,253,74,Switch,"Aug05,1982",1.63,43,3.35,56,0.0,0,75,0.0,8,2,0,10,0.8
