Fighter Name,Fighter Height,Fighter Weight,Fighter Reach,Fighter Stance,Fighter DOB,Fighter SLpM,Fighter Striking Accuracy,Fighter SApM,Fighter Striking Defence,Fighter Take Down Average,Fighter Take Down Accuracy,Fighter Take Down Defence,Fighter Submission Average,wins,loss,tie,total,win percent
Shamil Abdurakhimov,75,235,76,Orthodox,"Sep02,1981",2.53,45,2.53,58,1.36,22,77,0.3,18,4,0,22,0.8181818181818182
Daichi Abe,71,170,71,Orthodox,"Nov27,1991",4.2,35,3.53,59,0.5,50,0,0.0,6,1,0,7,0.8571428571428571
Papy Abedi,71,185,74,Southpaw,"Jun30,1978",2.8,55,3.15,48,3.47,57,50,1.3,9,3,0,12,0.75
Ricardo Abreu,71,185,73,Orthodox,"Apr27,1984",3.79,31,3.98,68,2.13,42,100,0.7,5,3,0,8,0.625
Israel Adesanya,74,185,80,Switch,"Jul22,1989",6.03,69,2.55,52,0.0,0,80,0.0,12,0,0,12,1.0
Jessica Aguilar,63,115,63,Orthodox,"May08,1982",4.23,43,7.13,60,2.0,50,0,0.0,19,6,0,25,0.76
Omari Akhmedov,72,185,73,Orthodox,"Oct12,1987",3.01,33,2.91,57,2.89,51,53,0.3,17,4,1,22,0.7727272727272727
Yoshihiro Akiyama,70,170,73,Orthodox,"Jul29,1975",3.1,41,3.62,57,2.29,67,92,1.0,14,6,0,20,0.7
Mostapha Al-Turk,74,245,77,Orthodox,"Jul14,1973",1.36,19,3.61,53,0.0,0,0,0.0,6,6,0,12,0.5
Junior Albini,75,264,74,Orthodox,"Mar15,1991",3.87,48,6.22,54,0.0,0,100,0.0,14,3,0,17,0.8235294117647058
Alexandra Albu,62,115,63,Orthodox,"Jul14,1990",5.26,51,5.01,41,3.18,55,81,0.6,7,0,0,7,1.0
Iuri Alcantara,69,135,71,Southpaw,"Aug04,1980",2.76,45,2.51,50,1.4,61,60,0.7,35,9,0,44,0.7954545454545454
Ildemar Alcantara,74,185,78,Orthodox,"Nov18,1982",1.93,38,2.63,50,2.0,68,81,0.9,21,8,0,29,0.7241379310344828
Irene Aldana,69,135,68,Orthodox,"Mar26,1988",5.82,40,7.11,57,0.67,66,95,0.0,8,4,0,12,0.6666666666666666
Jose Aldo,67,145,70,Orthodox,"Sep09,1986",3.46,44,2.91,67,0.74,68,92,0.2,26,4,0,30,0.8666666666666667
JJ Aldrich,65,115,67,Southpaw,"Sep29,1992",4.07,38,4.13,63,0.33,20,42,0.0,6,2,0,8,0.75
Jim Alers,69,145,71,Orthodox,"Oct14,1986",2.9,40,4.38,56,2.26,41,80,0.3,13,3,0,16,0.8125
John Alessio,70,155,72,Orthodox,"Jul05,1979",1.87,35,2.46,57,1.78,36,72,1.0,34,16,0,50,0.68
Houston Alexander,72,205,72,Orthodox,"Mar22,1972",3.06,54,3.2,52,1.19,57,33,0.0,13,8,1,22,0.5909090909090909
Marcio Alexandre Junior,72,170,75,Southpaw,"May05,1989",1.66,44,2.97,41,0.37,20,72,0.4,13,3,0,16,0.8125
Sultan Aliev,71,170,74,Orthodox,"Sep17,1984",1.3,57,2.03,58,1.69,66,100,0.0,14,2,0,16,0.875
Arnold Allen,68,145,70,Southpaw,"Jan22,1994",2.06,34,1.85,55,2.88,57,75,0.7,12,1,0,13,0.9230769230769231
Benny Alloway,71,170,75,Orthodox,"Feb19,1981",1.28,49,1.9,59,0.62,50,26,0.0,13,6,0,19,0.6842105263157895
Ricardo Almeida,72,170,74,Orthodox,"Nov29,1976",2.02,49,1.2,61,3.74,38,31,1.2,13,5,0,18,0.7222222222222222
Thomas Almeida,67,135,70,Southpaw,"Jul31,1991",5.66,45,4.65,64,0.0,0,75,0.0,22,3,0,25,0.88
Eddie Alvarez,69,155,69,Orthodox,"Jan11,1984",4.44,41,4.28,55,3.14,38,92,0.4,29,5,0,34,0.8529411764705882
Jaime Alvarez,68,125,69,Orthodox,"Mar08,1988",2.73,40,4.53,56,1.0,33,50,0.0,6,1,0,7,0.8571428571428571
Thiago Alves,69,170,70,Orthodox,"Oct03,1983",3.6,41,3.14,63,0.78,68,63,0.4,27,12,0,39,0.6923076923076923
Warlley Alves,71,170,72,Orthodox,"Jan04,1991",2.8,46,4.1,50,1.3,43,75,1.1,12,2,0,14,0.8571428571428571
Sam Alvey,74,185,75,Southpaw,"May06,1986",3.05,46,3.19,54,0.11,25,84,0.1,32,10,0,42,0.7619047619047619
Adlan Amagov,74,170,76,Orthodox,"Oct30,1986",3.29,47,0.82,78,5.84,56,100,0.0,13,2,1,16,0.8125
Makwan Amirkhani,70,145,72,Southpaw,"Nov08,1988",1.73,53,1.45,53,4.24,45,50,2.4,13,3,0,16,0.8125
Eryk Anders,73,185,75,Southpaw,"Apr21,1987",3.12,54,2.47,45,2.1,35,66,0.0,10,1,0,11,0.9090909090909091
Corey Anderson,75,205,79,Orthodox,"Sep22,1989",4.77,46,2.34,58,4.4,48,33,0.0,10,4,0,14,0.7142857142857143
Jessica Andrade,61,115,62,Orthodox,"Sep25,1991",6.42,51,4.94,51,3.24,58,75,0.5,18,6,0,24,0.75
Viscardi Andrade,71,170,75,Orthodox,"Mar08,1984",3.26,42,2.77,63,1.93,50,66,0.3,19,7,0,26,0.7307692307692307
Dylan Andrews,73,185,73,Switch,"Nov15,1979",2.21,50,2.72,46,2.83,50,57,0.4,18,8,0,26,0.6923076923076923
Magomed Ankalaev,75,205,75,Orthodox,"Feb06,1992",3.94,61,1.2,64,0.0,0,71,0.0,9,1,0,10,0.9
Nina Ansaroff,65,115,64,Orthodox,"Dec03,1985",5.22,48,3.77,53,0.51,40,73,1.0,8,5,0,13,0.6153846153846154
Gadzhimurad Antigulov,71,205,70,Orthodox,"Feb09,1987",0.58,25,0.87,66,8.65,100,0,8.7,20,4,0,24,0.8333333333333334
Adam Antolin,65,125,63,Orthodox,"Feb28,1982",5.73,52,5.0,69,0.0,0,100,0.0,12,3,0,15,0.8
Zu Anyanwu,73,251,77,Orthodox,"Aug05,1981",2.47,42,2.47,69,0.65,100,0,0.0,14,5,0,19,0.7368421052631579
Shinsho Anzai,67,170,70,Orthodox,"Dec01,1985",3.49,59,3.69,46,2.0,16,100,0.0,10,2,0,12,0.8333333333333334
Felipe Arantes,68,145,73,Orthodox,"Feb09,1988",2.48,45,2.56,64,1.0,52,42,0.8,18,9,1,28,0.6428571428571429
Igor Araujo,73,170,77,Orthodox,"Dec06,1980",1.52,42,2.86,49,0.86,15,22,0.6,25,8,0,33,0.7575757575757576
Julio Arce,67,145,70,Southpaw,"Oct27,1989",5.96,41,2.43,69,0.0,0,92,0.0,14,2,0,16,0.875
Andrei Arlovski,75,240,77,Orthodox,"Feb04,1979",3.23,42,2.59,58,0.56,37,81,0.4,27,15,0,42,0.6428571428571429
Austin Arnett,72,145,72,Orthodox,"Oct22,1991",5.76,37,8.99,64,0.63,100,0,0.6,15,4,0,19,0.7894736842105263
Akbarh Arreola,70,155,71,Southpaw,"Jan14,1983",2.32,45,4.01,56,1.07,100,33,0.4,23,10,1,34,0.6764705882352942
Matt Arroyo,70,170,72,Orthodox,"Sep01,1982",1.62,47,2.01,58,2.12,36,100,5.3,3,3,0,6,0.5
Cyril Asker,72,247,74,Orthodox,"Dec24,1985",3.35,39,5.82,35,4.41,62,100,0.9,9,4,0,13,0.6923076923076923
Scott Askham,75,185,75,Southpaw,"May20,1988",3.03,46,3.52,52,0.44,18,65,0.7,14,4,0,18,0.7777777777777778
Junior Assuncao,69,145,72,Orthodox,"Jun24,1981",3.31,62,2.06,44,2.43,24,66,0.7,13,4,0,17,0.7647058823529411
Raphael Assuncao,65,135,66,Orthodox,"Jul19,1982",3.37,40,2.29,69,1.36,33,79,0.3,26,5,0,31,0.8387096774193549
Rich Attonito,70,170,72,Orthodox,"Jun16,1977",2.28,47,2.13,59,0.74,37,75,0.0,10,5,0,15,0.6666666666666666
Olivier Aubin-Mercier,69,155,70,Southpaw,"Feb23,1989",2.67,52,2.67,58,3.14,35,83,0.6,11,2,0,13,0.8461538461538461
Marcus Aurelio,70,155,74,Orthodox,"Aug18,1973",1.42,33,2.27,59,1.69,27,27,1.3,21,10,0,31,0.6774193548387096
Blas Avena,72,170,74,Orthodox,"Jun30,1983",2.34,47,3.36,43,2.37,80,50,1.8,7,6,0,13,0.5384615384615384
Chris Avila,70,145,72,Orthodox,"Jan16,1993",2.37,30,4.17,48,0.0,0,46,0.0,5,4,0,9,0.5555555555555556
Jessin Ayari,72,170,73,Orthodox,"May31,1992",3.27,34,2.6,61,0.0,0,33,0.5,16,4,0,20,0.8
Niklas Backstrom,73,145,74,Orthodox,"Aug22,1989",1.12,41,3.65,40,2.92,80,72,2.2,8,2,0,10,0.8
Seth Baczynski,75,170,74,Orthodox,"Oct26,1981",3.08,31,3.14,51,0.89,16,48,0.8,18,11,0,29,0.6206896551724138
Ryan Bader,74,205,74,Orthodox,"Jun07,1983",2.82,43,1.39,71,3.37,44,80,0.4,23,5,0,28,0.8214285714285714
Ali Bagautinov,64,125,65,Orthodox,"Jun10,1985",2.85,42,3.09,52,2.51,36,65,0.3,14,5,0,19,0.7368421052631579
Mehdi Baghdad,73,155,75,Orthodox,"Apr13,1985",3.13,30,4.56,46,0.0,0,33,0.0,11,4,0,15,0.7333333333333333
Siyar Bahadurzada,71,185,72,Orthodox,"Apr17,1984",3.37,48,2.34,50,1.13,80,67,0.6,23,6,1,30,0.7666666666666667
Oluwale Bamgbose,71,185,78,Switch,"Aug04,1987",2.45,48,2.7,55,0.94,33,37,0.0,6,4,0,10,0.6
Marcin Bandel,70,155,70,Orthodox,"Oct10,1989",0.79,50,5.26,23,0.0,0,0,0.0,13,4,0,17,0.7647058823529411
Tae Hyun Bang,69,155,71,Switch,"Apr15,1983",2.72,38,2.07,66,0.49,33,57,0.5,18,10,0,28,0.6428571428571429
Antonio Banuelos,65,135,63,Orthodox,"Sep23,1979",2.71,33,3.3,58,1.38,58,85,0.4,19,7,1,27,0.7037037037037037
Renan Barao,66,135,70,Orthodox,"Jan31,1987",3.76,35,3.78,58,1.39,43,93,0.5,36,6,0,42,0.8571428571428571
Bryan Barberena,72,170,72,Southpaw,"May03,1989",4.89,49,3.67,50,0.35,40,47,0.3,13,5,0,18,0.7222222222222222
Edson Barboza,71,155,75,Orthodox,"Jan21,1986",3.79,40,3.73,62,0.54,53,83,0.1,19,5,0,24,0.7916666666666666
Luke Barnatt,78,185,77,Orthodox,"Apr13,1988",4.43,36,3.87,59,0.63,42,63,0.4,8,3,0,11,0.7272727272727273
Josh Barnett,75,250,78,Orthodox,"Nov10,1977",3.2,50,2.11,57,1.26,55,55,1.4,35,8,0,43,0.813953488372093
Phil Baroni,69,170,72,Orthodox,"Apr16,1976",2.77,45,3.93,40,1.46,47,60,0.5,14,15,0,29,0.4827586206896552
Francimar Barroso,73,205,75,Orthodox,"Feb28,1980",2.77,52,3.07,59,2.22,24,83,0.0,19,7,0,26,0.7307692307692307
Pat Barry,71,235,74,Orthodox,"Jul07,1979",2.72,52,3.54,59,0.0,0,76,0.2,8,7,0,15,0.5333333333333333
Shayna Baszler,67,135,67,Orthodox,"Aug08,1980",2.49,30,6.36,51,0.67,18,44,1.3,15,10,0,25,0.6
Chris Beal,67,125,69,Orthodox,"Aug06,1985",3.45,35,3.18,61,1.6,58,78,0.2,10,3,0,13,0.7692307692307693
Johnny Bedford,70,135,71,Orthodox,"Jan06,1983",4.53,50,1.75,63,1.83,62,62,0.0,19,13,1,33,0.5757575757575758
Chase Beebe,67,135,67,Orthodox,"Mar29,1985",2.17,38,1.64,69,2.49,42,41,0.9,19,8,1,28,0.6785714285714286
Mirsad Bektic,68,145,70,Orthodox,"Feb16,1991",3.14,49,1.2,67,4.02,53,100,0.5,12,1,0,13,0.9230769230769231
Alan Belcher,74,185,73,Orthodox,"Apr24,1984",2.7,41,3.1,59,0.44,26,55,0.9,17,7,0,24,0.7083333333333334
Vitor Belfort,72,185,74,Southpaw,"Apr01,1977",1.63,46,2.85,50,1.05,60,53,0.6,26,13,0,39,0.6666666666666666
Joey Beltran,73,185,75,Orthodox,"Dec08,1981",4.92,36,5.27,54,0.48,18,75,0.0,15,9,0,24,0.625
Marco Beltran,68,125,69,Orthodox,"May18,1986",2.07,37,1.93,63,0.7,50,46,0.2,8,7,0,15,0.5333333333333333
Joseph Benavidez,64,125,65,Southpaw,"Jul31,1984",3.42,33,2.36,65,1.21,29,66,0.8,25,4,0,29,0.8620689655172413
Gabriel Benitez,68,145,71,Southpaw,"Jun15,1988",4.14,42,2.6,73,0.0,0,56,1.6,20,7,0,27,0.7407407407407407
Lance Benoist,71,170,73,Southpaw,"Aug26,1988",3.68,51,2.7,56,1.5,33,61,0.0,7,2,0,9,0.7777777777777778
Ryan Benoit,65,125,68,Orthodox,"Aug25,1989",2.38,36,3.2,59,0.24,20,62,0.2,10,5,0,15,0.6666666666666666
Keith Berish,72,205,73,Orthodox,"Nov14,1985",3.58,36,4.81,62,1.76,40,0,0.0,5,1,0,6,0.8333333333333334
Dennis Bermudez,66,145,66,Orthodox,"Dec13,1986",4.59,46,3.2,58,3.6,38,82,1.1,17,8,0,25,0.68
Manny Bermudez,70,135,71,Orthodox,"Jul16,1994",1.59,42,2.52,64,1.99,20,0,6.0,12,0,0,12,1.0
Matt Bessette,70,145,70,Orthodox,"Dec28,1984",4.63,41,4.22,59,0.94,50,58,0.5,22,8,0,30,0.7333333333333333
Arjan Bhullar,73,245,76,Orthodox,"May13,1986",1.6,48,2.13,71,1.0,100,0,0.0,7,0,0,7,1.0
Magomed Bibulatov,65,125,65,Orthodox,"Aug22,1988",3.37,44,1.08,60,1.8,28,100,0.0,14,1,0,15,0.9333333333333333
David Bielkheden,70,155,71,Orthodox,"Jun06,1979",1.11,57,1.64,54,2.65,63,14,0.0,16,9,0,25,0.64
Anthony Birchak,68,135,69,Orthodox,"May16,1986",3.98,35,2.26,66,0.68,16,83,0.0,13,3,0,16,0.8125
Michael Bisping,73,185,75,Orthodox,"Feb28,1979",4.33,38,2.71,65,1.05,43,63,0.3,31,9,0,40,0.775
Jan Blachowicz,74,205,78,Orthodox,"Feb24,1983",3.79,49,3.17,52,1.57,52,57,0.3,22,7,0,29,0.7586206896551724
Brad Blackburn,70,170,73,Orthodox,"May25,1977",4.55,35,3.59,65,0.93,50,76,0.7,18,13,1,32,0.5625
Maximo Blanco,68,145,71,Orthodox,"Oct16,1983",4.11,44,3.19,66,1.85,36,63,0.3,12,8,1,21,0.5714285714285714
Curtis Blaydes,76,265,80,Orthodox,"Feb18,1991",4.49,49,2.63,56,7.29,54,25,0.0,9,1,0,10,0.9
Byron Bloodworth,68,135,69,Orthodox,"Aug16,1983",1.82,28,5.18,50,0.0,0,0,0.0,6,3,0,9,0.6666666666666666
Mark Bocek,68,155,75,Orthodox,"Oct24,1981",2.34,43,2.32,60,3.65,36,31,1.3,12,5,0,17,0.7058823529411765
Kyle Bochniak,67,145,70,Orthodox,"Feb05,1987",2.48,32,3.77,62,1.25,21,65,0.0,8,2,0,10,0.8
James Bochnovic,76,205,81,Orthodox,"Feb13,1989",0.63,20,5.19,22,0.0,0,0,0.0,8,2,0,10,0.8
Tim Boetsch,72,185,74,Orthodox,"Jan28,1981",2.98,51,2.77,57,1.6,35,58,0.8,21,11,0,32,0.65625
Galore Bofando,71,170,72,Switch,"May22,1982",3.63,45,3.63,54,2.37,100,50,0.0,5,3,0,8,0.625
Stephan Bonnar,76,205,78,Orthodox,"Apr04,1977",2.76,38,3.01,52,1.32,40,60,1.0,17,8,0,25,0.68
Ray Borg,64,125,63,Orthodox,"Aug04,1993",1.31,48,1.92,47,2.91,44,39,1.4,11,3,0,14,0.7857142857142857
Steve Bosse,71,205,72,Orthodox,"Jul29,1981",5.99,52,5.38,50,0.92,33,100,0.0,12,2,0,14,0.8571428571428571
Brian Bowles,67,135,70,Orthodox,"Jun22,1980",2.36,26,2.98,64,1.39,70,54,1.4,10,3,0,13,0.7692307692307693
Roger Bowling,69,155,68,Orthodox,"Dec05,1982",3.9,47,3.86,51,3.09,43,27,0.9,11,5,0,16,0.6875
Kyle Bradley,69,155,71,Orthodox,"Aug19,1982",1.99,40,3.45,58,0.65,50,40,0.0,15,8,0,23,0.6521739130434783
David Branch,73,185,78,Orthodox,"Sep26,1981",1.65,40,1.55,57,2.25,34,42,0.0,21,4,0,25,0.84
Diego Brandao,67,145,68,Orthodox,"May27,1987",2.94,47,3.38,62,3.21,68,80,0.6,24,11,0,35,0.6857142857142857
Martin Bravo,68,145,71,Southpaw,"Sep21,1993",7.76,45,4.63,54,0.0,0,83,0.0,12,1,0,13,0.9230769230769231
Tom Breese,75,185,73,Southpaw,"Sep26,1991",3.61,49,2.65,63,0.0,0,72,0.4,10,1,0,11,0.9090909090909091
Charlie Brenneman,70,155,72,Orthodox,"Feb09,1981",1.52,56,1.55,46,4.23,42,72,0.0,19,8,0,27,0.7037037037037037
Jason Brilz,71,205,71,Orthodox,"Jul07,1975",2.66,40,1.78,65,2.37,25,25,1.3,18,5,1,24,0.75
Marcus Brimage,64,135,71,Southpaw,"Apr06,1985",3.97,35,3.64,56,0.56,100,80,0.0,7,5,0,12,0.5833333333333334
Jonathan Brookins,72,145,73,Southpaw,"Aug13,1985",2.69,39,3.63,56,1.94,17,80,0.3,14,6,0,20,0.7
Will Brooks,70,155,72,Orthodox,"Oct08,1986",4.26,59,2.54,56,2.08,51,82,0.3,18,4,0,22,0.8181818181818182
CM Punk,73,170,73,Orthodox,"Oct26,1978",0.0,0,8.96,37,0.0,0,0,0.0,0,1,0,1,0.0
Jarred Brooks,63,125,62,Switch,"May02,1993",1.9,43,1.67,62,6.0,63,66,0.5,13,1,0,14,0.9285714285714286
Matt Brown,72,170,75,Orthodox,"Jan10,1981",3.78,53,2.64,56,1.57,46,63,1.6,23,16,0,39,0.5897435897435898
Mike Brown,66,145,70,Orthodox,"Sep08,1975",2.98,44,2.45,60,3.23,40,66,0.6,26,9,0,35,0.7428571428571429
Randy Brown,75,170,78,Orthodox,"Jul08,1990",2.96,45,2.41,53,0.87,40,78,0.7,10,2,0,12,0.8333333333333334
Damien Brown,70,155,68,Orthodox,"Dec25,1984",3.66,38,4.86,50,0.68,27,53,0.7,17,12,0,29,0.5862068965517241
Travis Browne,78,255,79,Orthodox,"Jul17,1982",2.93,41,4.31,42,1.21,68,75,0.2,18,7,1,26,0.6923076923076923
Derek Brunson,73,185,77,Southpaw,"Jan04,1984",3.16,45,2.55,50,2.88,32,100,0.6,18,6,0,24,0.75
Justin Buchholz,72,155,73,Orthodox,"Aug22,1983",2.35,26,4.14,51,0.0,0,33,0.8,12,6,0,18,0.6666666666666666
Mike Budnik,69,145,68,Orthodox,"Aug08,1974",0.65,52,0.95,53,0.0,0,0,3.4,11,4,0,15,0.7333333333333333
Paul Buentello,74,245,77,Orthodox,"Jan16,1974",3.29,45,3.83,52,0.19,33,39,0.4,29,14,0,43,0.6744186046511628
Wuliji Buren,69,145,69,Orthodox,"Mar01,1989",1.13,28,1.73,73,4.0,36,100,0.0,10,5,0,15,0.6666666666666666
Shane Burgos,71,145,75,Orthodox,"Mar19,1991",6.49,46,5.29,66,0.57,100,94,0.0,10,1,0,11,0.9090909090909091
Joshua Burkman,70,170,72,Orthodox,"Apr10,1980",2.69,43,3.13,51,2.53,36,72,0.3,29,17,0,46,0.6304347826086957
Mads Burnell,68,145,69,Orthodox,"Mar06,1994",1.13,46,2.91,39,1.7,42,22,0.6,9,2,0,11,0.8181818181818182
Kevin Burns,70,170,74,Orthodox,"Mar03,1980",2.74,38,4.3,52,0.28,50,47,0.8,9,5,0,14,0.6428571428571429
Gilbert Burns,70,155,71,Orthodox,"Jul20,1986",2.49,37,3.42,57,2.09,33,38,0.9,12,2,0,14,0.8571428571428571
Nah-Shon Burrell,71,170,73,Orthodox,"Feb05,1990",4.83,47,3.45,56,0.0,0,52,0.3,9,3,0,12,0.75
Martin Buschkamp,69,145,70,Orthodox,"Jan06,1991",0.0,0,0.0,0,0.0,0,0,0.0,9,0,0,9,1.0
Bubba Bush,72,185,73,Orthodox,"Jul24,1985",0.63,55,7.01,25,2.82,50,60,0.0,8,3,0,11,0.7272727272727273
JP Buys,66,125,66,Orthodox,"Apr30,1996",2.01,42,3.35,46,4.02,50,0,0.0,4,1,0,5,0.8
Charles Byrd,70,185,73,Orthodox,"Oct11,1983",3.33,58,0.82,61,3.77,100,57,2.8,10,4,0,14,0.7142857142857143
Yan Cabral,71,155,73,Orthodox,"May13,1983",2.02,47,1.98,62,2.89,35,37,1.2,12,3,0,15,0.8
Alex Caceres,70,145,73,Southpaw,"Jun20,1988",3.75,48,2.62,63,0.6,81,58,0.9,13,11,0,24,0.5416666666666666
Priscila Cachoeira,67,125,65,Orthodox,"Aug19,1988",0.21,16,10.09,15,0.0,0,0,0.0,8,1,0,9,0.8888888888888888
Cynthia Calvillo,64,115,64,Orthodox,"Jul13,1987",3.29,37,3.29,65,1.59,50,69,2.5,6,1,0,7,0.8571428571428571
Frank Camacho,70,170,73,Orthodox,"May18,1989",6.56,45,7.62,54,1.67,55,80,0.0,21,6,0,27,0.7777777777777778
Fabricio Camoes,70,155,73,Orthodox,"Dec23,1978",1.29,33,1.85,61,2.34,32,20,1.5,14,9,1,24,0.5833333333333334
Chris Camozzi,74,185,76,Orthodox,"Nov20,1986",3.57,44,2.96,56,0.27,19,57,0.5,24,13,0,37,0.6486486486486487
Brian Camozzi,74,170,78,Orthodox,"Jun24,1991",3.15,26,6.39,54,0.0,0,0,0.7,7,5,0,12,0.5833333333333334
Shane Campbell,72,155,71,Orthodox,"Jan21,1987",3.99,59,3.19,55,1.36,28,82,0.0,12,6,0,18,0.6666666666666666
Will Campuzano,69,125,70,Orthodox,"May27,1986",2.43,31,3.82,57,0.88,45,48,0.2,13,6,0,19,0.6842105263157895
Chico Camus,66,125,66,Orthodox,"Jan26,1985",2.58,41,2.46,64,0.77,40,72,0.4,14,7,0,21,0.6666666666666666
Carlos Candelario,68,125,67,Southpaw,"Jun04,1991",3.87,47,1.67,57,0.0,0,46,0.0,6,0,0,6,1.0
Luiz Cane,74,185,77,Southpaw,"Apr24,1981",4.79,41,5.0,60,0.56,28,100,0.3,12,5,0,17,0.7058823529411765
Guido Cannetti,66,135,68,Southpaw,"Dec19,1979",3.23,52,1.8,57,3.38,54,88,0.0,7,4,0,11,0.6363636363636364
Jared Cannonier,71,205,77,Switch,"Mar16,1984",3.61,52,2.74,68,0.24,33,27,0.0,10,3,0,13,0.7692307692307693
Steve Cantwell,74,185,75,Orthodox,"Dec08,1986",3.63,34,5.76,55,0.65,30,80,0.7,7,6,0,13,0.5384615384615384
Bryan Caraway,68,135,68,Orthodox,"Aug04,1984",2.43,33,3.43,54,2.62,26,80,0.8,21,9,0,30,0.7
Chris Cariaso,63,125,63,Southpaw,"May27,1981",3.35,43,2.23,61,1.11,39,57,0.8,17,8,0,25,0.68
Antonio Carlos Junior,74,185,79,Orthodox,"Mar16,1990",1.89,43,1.86,54,3.77,46,57,1.1,10,2,0,12,0.8333333333333334
Francis Carmont,75,205,78,Orthodox,"Oct11,1981",2.22,42,1.64,59,1.79,36,73,0.6,23,10,0,33,0.696969696969697
Liz Carmouche,66,125,66,Orthodox,"Feb19,1984",3.27,55,2.66,60,2.94,50,66,0.2,10,6,0,16,0.625
Roan Carneiro,71,170,74,Orthodox,"Jun02,1978",1.46,46,1.82,62,3.05,42,83,1.4,21,11,0,32,0.65625
Renato Moicano,71,145,72,Orthodox,"May21,1989",5.26,44,3.55,69,1.46,55,72,0.3,11,1,1,13,0.8461538461538461
